Station,OS X,OS Y,Latitude,Longitude,Zone
Angel,531497,183263,51.5329680281,-0.1055670341,1
Archway,529356,186827,51.5654905502,-0.1351071516,2/3
Balham,528482,173195,51.4431825802,-0.1526707768,3
Bank,532704,181111,51.5133470727,-0.0889857153,1
Belsize Park,527399,185075,51.5501908973,-0.1639600724,2
Borough,532379,179734,51.5010488804,-0.0941829184,1
Brent Cross,523905,187927,51.5765992408,-0.213321412,3
Burnt Oak,520303,190728,51.6025519438,-0.2643162756,4
Camden Town,528920,183976,51.5399693693,-0.1424379641,2
Chalk Farm,528126,184421,51.5441491048,-0.1537186526,2
Charing Cross,530234,180492,51.5083586448,-0.1247885311,1
Clapham Common,529428,175291,51.4618036863,-0.1383005101,2
Clapham North,530003,175652,51.4649162304,-0.1298956695,2
Clapham South,528782,174259,51.4526765067,-0.1479696801,2/3
Colindale,521295,189937,51.5952305463,-0.2502731093,4
Colliers Wood,526831,170436,51.418759209,-0.177400721,3
East Finchley,527242,189204,51.5873325644,-0.1647294541,3
Edgware,519527,192009,51.6142296555,-0.2750792261,5
Elephant and Castle,531940,179144,51.4958493943,-0.1007243117,1/2
Embankment,530406,180380,51.5073125093,-0.1223529298,1
Euston,529587,182735,51.5286643464,-0.1332820584,1
Finchley Central,525232,190664,51.6009032738,-0.1932062006,4
Golders Green,525199,187471,51.5722155567,-0.194820132,3
Goodge Street,529505,181837,51.5206131255,-0.1347932793,1
Hampstead,526408,185757,51.5565426167,-0.1780001377,2
Hendon Central,522959,188631,51.5831330741,-0.2267197095,3/4
High Barnet,525027,196310,51.6516882767,-0.1941509278,5
Highgate,528503,188158,51.5776466348,-0.1469204333,3
Kennington,531660,178337,51.4886624707,-0.1050562126,2
Kentish Town,529029,185096,51.5500095384,-0.1404568437,2
Kings Cross St. Pancras,530236,182935,51.5303124769,-0.1238577156,1
Leicester Square,529987,180812,51.5112911968,-0.1282277396,1
London Bridge,532937,180152,51.5046743576,-0.0859911923,1
Mill Hill East,524057,191460,51.6083166699,-0.2098812743,4
Moorgate,532688,181677,51.5184371494,-0.0890032776,1
Morden,525664,168563,51.402185985,-0.1948376081,4
Mornington Crescent,529193,183359,51.5343622339,-0.1387299346,2
Old Street,532764,182474,51.5255814819,-0.0876085453,1
Oval,531108,177516,51.4814126138,-0.1133066773,2
South Wimbledon,525828,170033,51.4153607329,-0.1919601685,3/4
Stockwell,530473,176470,51.4721592703,-0.1228319086,2
Tooting Bec,528015,172366,51.4358380832,-0.1596861081,3
Tooting Broadway,527415,171373,51.427049165,-0.168670146,3
Tottenham Court Road,529774,181354,51.5162108857,-0.1310960294,1
Totteridge and Whetstone,526111,193951,51.6302467412,-0.1793398175,4
Tufnell Park,529200,185816,51.5564408143,-0.1377277529,2
Warren Street,529253,182272,51.5245800051,-0.1382639195,1
Waterloo,531050,179933,51.5031466531,-0.1132448466,1
West Finchley,525507,191601,51.6092627505,-0.1889026707,4
Woodside Park,525725,192564,51.6178684221,-0.1854110631,4
